Southern cloudywing, Thorybes bathyllus
Northern cloudywing, Thorybes pylades
Western cloudywing, Thorybes diversus
Mexican cloudywing, Thorybes mexicana
Confused cloudywing, Thorybes confusis
Drusius cloudywing, Thorybes drusius
Potrillo skipper, Cabares potrillo
Common scarlet-eye, Nascus phocus
Fritzgaertner's flat, Celaenorrhinus fritzgaertneri
Stallings's flat, Celaenorrhinus stallingsi
Falcate skipper, Spathilepia
Mimosa skipper, Cogia calchas
Acacia skipper, Cogia hippalus
Outis skipper, Cogia outis
Gold-costa skipper, Cogia caicus
Starred skipper, Arteurotia tractipennis
Brown enops, Polyctor enops
Purplish-black skipper, Nisoniades rubescens
Glazed pellicia, Pellicia arina
Morning glory pellicia, Pellicia dimidiata
White-haired skipper, Noctuana lactifera bipuncta
Mottled bolla, Bolla clytius
Rounded bolla, Bolla imbras
Obscure bolla, Bolla brennus
Mauve bolla, Bolla eusebius
Golden-headed scallopwing, Staphylus ceos
Mazans scallopwing, Staphylus mazans
Hayhurst's scallopwing, Staphylus hayhurstii
Aztec scallopwing, Staphylus azteca
Variegated skipper, Gorgythion begga
Blue-studded skipper, Sostrata bifasciata
Dingy mylon, Mylon pelopidas
Hoary skipper, Carrhenes canescens
Black-spotted hoary-skipper, Carrhenes fuscescens
Northern clipper, Milanion clito
Glassy-winged skipper, Xenophanes tryxus
Dusted spurwing, Antigonus erosus
White spurwing, Antigonus emorsus
Red-studded skipper, Noctuana stator
Texas powdered-skipper, Systasea pulverulenta
Arizona powdered-skipper, Systasea zampa
Sickle-winged skipper, Achylodes thraso
Pale sicklewing, Achlyodes pallida
Hermit skipper, Grais stigmatica
Brown-banded skipper, Timochares ruptifasciatus
Common bluevent, Anastrus sempiternus
Common bentwing, Ebrietas anacreon
White-patched skipper, Chiomara asychis
False duskywing, Gesta gesta
Rocky Mountain duskywing, Erynnis telemachus
Propertius duskywing, Erynnis propertius
Meridian duskywing, Erynnis meridianus
Scudder's duskywing, Erynnis scudderi
Horace's duskywing, Erynnis horatius
Mournful duskywing, Erynnis tristis
Mottled duskywing, Erynnis martialis
Pacuvius duskywing, Erynnis pacuvius
Zarucco duskywing, Erynnis zarucco
Funereal duskywing, Erynnis funeralis
Columbine duskywing, Erynnis lucilius
Wild indigo duskywing, Erynnis baptisiae
Afranius duskywing, Erynnis afranius
Persius duskywing, Erynnis persius
Grizzled skipper, Pyrgus centaureae
Two-banded checkered-skipper, Pyrgus ruralis
Mountain checkered-skipper, Pyrgus xanthus
Small checkered-skipper, Pyrgus scriptura
Common checkered-skipper, Pyrgus communis
White checkered-skipper, Pyrgus albescens
Tropical checkered-skipper, Pyrgus oileus
Desert checkered-skipper, Pyrgus philetas
Erichson's white-skipper, Heliopetes domicella
Northern white-skipper, Heliopetes ericetorum
Laviana white-skipper, Heliopetes laviana
Turk's-cap white-skipper, Heliopetes macaira
East-Mexican white-skipper, Heliopetes sublinea
Veined white-skipper, Heliopetes arsalte
Common streaky-skipper, Celotes nessus
Scarce streaky-skipper, Celotes limpia
Common sootywing, Pholisora catullus
Mexican sootywing, Pholisora mejicana
Mojave sootywing, Hesperopsis libya
Saltbush sootywing, Hesperopsis alpheus
Arctic skipper, Carterocephalus palaemon
Russet skipperling, Piruna pirus
Four-spotted skipperling, Piruna polingi
Many-spotted skipperling, Piruna cingo
Small-spotted skipperling, Piruna microstictus
Chisos skipperling, Piruna haferniki
Two-rayed skipperling, Piruna roeveri
Yucca giant-skipper, Megathymus yuccae (includes coloradensis)
Cofaqui giant-skipper, Megathymus cofaqui (includes harrisi)
Strecker's giant-skipper, Megathymus streckeri
Ursine giant-skipper, Megathymus ursus
Manfreda giant-skipper, Stallingsia maculosa
Banana skipper, Erionota thrax
Osca skipper, Rhinthon osca
Double-dotted skipper, Decinea percosius // END butterfly species
Dogwood Thyatirid, Euthyatira pudens
Lettered Habrosyne, Habrosyne scripta
Tufted Thyatirid, Pseudothyatira cymatophoroides
Arched Hooktip, Drepana arcuata
Northern Eudeilinea, Eudeilinia herminiata
Rose Hooktip, Oreta rosea
Cecrops eyed silkmoth, Automeris cecrops
Io moth, Automeris io
Iris eyed silkmoth, Automeris iris
Louisiana eyed silkmoth, Automeris louisiana
Patagonia eyed silkmoth, Automeris patagoniensis
Zephyr eyed silkmoth, Automeris zephyria
Burns' buckmoth, Hemileuca burnsi
Chinati sheepmoth, Hemileuca chinatiensis
Western sheepmoth, Hemileuca eglanterina
Electra buckmoth, Hemileuca electra
Griffin's sheepmoth, Hemileuca griffini
Grote's buckmoth, Hemileuca grotei
Hera buckmoth, Hemileuca hera
Tricolor buckmoth, Hemileuca tricolor
Slosser's buckmoth, Hemileuca slosseri
Luna moth, Actias luna
Oculea silkmoth, Antheraea oculea
Polyphemus moth, Antheraea polyphemus
Tuliptree silkmoth, Callosamia angulifera
Promethea silkmoth, Callosamia promethea
Sweetbay silkmoth, Callosamia securifera
Calleta silkmoth, Eupackardia calleta
Cecropia silkmoth, Hyalophora cecropia
Columbia silkmoth, Hyalophora columbia
Ceanothus silkmoth, Hyalophora euryalus
Cincta rothschildia, Rothschildia cincta
Forbes' silkmoth, Rothschildia forbesi
Rothschildia zacateca
White-streaked saturnia moth, Saturnia albofasciata
Mendocino saturnia moth, Saturnia mendocino
Walters' saturnia moth, Saturnia walterorum
Consular oakworm moth, Anisota consularis
Oslar's oakworm moth, Anisota oslari
Orange-tipped oakworm moth, Anisota senatoria
Spiny oakworm moth, Anisota stigma
Pink-striped oakworm moth, Anisota virginiensis
Royal Walnut Moth, Citheronia regalis
Pine-devil Moth, Citheronia sepulcralis
Rosy maple moth, Dryocampa rubicunda
Imperial moth, Eacles imperialis
Oslar's eacles, Eacles oslari
Bicolored honey locust moth, Sphingicampa bicolor
Hubbard's Small Silkmoth, Sphingicampa hubbardi
Sphingicampa montana
Blanchards' amplypterus, Adhemarius blanchardorum
Pink-spotted hawkmoth, Agrius cingulata
Walnut sphinx, Amorpha juglandis
Elm sphinx, Ceratomia amyntor
Catalpa sphinx, Ceratomia catalpae
Waved sphinx, Ceratomia undulosa
Giant sphinx, Cocytius antaeus
Pawpaw sphinx, Dolba hyloeus
Northern pine sphinx, Lapara bombycoides
Southern pine sphinx, Lapara coniferarum
Gulf pine sphinx, Lapara phaeobrachycerous
Hermit sphinx, Lintneria eremitus
Separated sphinx, Lintneria separatus
Occult sphinx, Manduca occulta
Five-spotted hawkmoth, Manduca quinquemaculata
Rustic sphinx, Manduca rustica
Modest sphinx, Pachysphinx modesta
Big poplar sphinx, Pachysphinx occidentalis
Huckleberry sphinx, Paonias astylus
Blinded sphinx, Paonias excaecata
Small-eyed sphinx, Paonias myops
One-eyed sphinx, Smerinthus cerisyi
Twin-spotted sphinx, Smerinthus jamaicensis
Great ash sphinx, Sphinx chersis
Wild cherry sphinx, Sphinx drupiferarum
Laurel sphinx, Sphinx kalmiae
Titan sphinx, Aellopos titan
Nessus sphinx, Amphion floridensis
Parce sphinx, Callionima parce
Grote's sphinx, Cautethia grotei
Spurious sphinx, Cautethia spuria
Oleander Hawk-moth, Daphnis nerii
Azalea Sphinx, Darapsa choerilus (pholus)
Virginia creeper sphinx, Darapsa myron
Lettered sphinx, Deidamia inscriptum
Obscure sphinx, Erinnyis obscura
Achemon sphinx, Eumorpha achemon
Banded sphinx, Eumorpha fasciatus
Gaudy sphinx, Eumorpha labruscae
Pandorus Sphinx, Eumorpha pandorus
